geneID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Me1_v2_0081270	0.6942075025429439	2.1505681052220886	2.9184486991650394	0.0041679908431826755	0.024492246815617263	-2.2124908687304443
Me1_v2_0012860	0.6940314911402033	-0.2974707159157014	1.9486999993078413	0.05355545436227893	0.15625067791373706	-4.045627315458961
Me1_v2_0197070	-0.6939774925657223	4.4367270036439495	-4.202978174136928	4.953128167616716e-5	8.106559400473246e-4	1.572599256646015
Me1_v2_0120870	-0.6938385855063771	5.078544046247615	-6.223774280198418	6.626307072529538e-9	6.244422533349547e-7	10.046550472764492
Me1_v2_0068840	0.6937925856448777	5.668440070779618	3.171991098845105	0.0019021863249696319	0.013722258722232579	-1.8872820248074103
Me1_v2_0198110	0.6937837380555916	-1.2165685756888296	1.3716714446774183	0.17260506218634245	0.3461186738096608	-4.697760626423663
Me1_v2_0135500	-0.6937389011121149	3.036459176910604	-2.779516993828209	0.006279153120493532	0.033174457545717524	-2.6368190216573066
Me1_v2_0084160	-0.6936258423176662	4.324310491701433	-2.6439344691400257	0.0092371327558008	0.0437181816051197	-3.2031240746289424
Me1_v2_0136000	-0.6934856409287455	5.604931450166148	-3.667595081356333	3.5985387696153815e-4	0.003814647875361222	-0.35371120032132897
Me1_v2_0162740	-0.6934153133630092	5.782151234644335	-5.9232948975399	2.8170932172691664e-8	1.9550408548528843e-6	8.639601668449345
Me1_v2_0132040	-0.6934107231594355	4.938615331902805	-5.498681547424866	2.0419594115876702e-7	9.9082068467418e-6	6.763478235632194
Me1_v2_0081090	-0.6932714822746524	3.8018138787904534	-3.8121146076696784	2.1457077021397276e-4	0.0025347119566204272	0.29855151396424073
Me1_v2_0179250	0.6931739461305927	-0.7543694941077251	1.9318394859492252	0.055625906611138885	0.16074594220020041	-4.072380891858344
Me1_v2_0121640	0.6928550086249654	7.052379238513916	4.368496284524183	2.5872990098447814e-5	4.822242104534004e-4	2.1920937546164847
Me1_v2_0080710	-0.692816873314376	5.849245680180846	-2.55282386001644	0.011879380551525879	0.05244752277702484	-3.5339400022897216
Me1_v2_0190690	-0.6927821601848376	-1.524167292801923	-1.1356992986353727	0.25823960719159306	0.4520266073678242	-4.948945932818655
Me1_v2_0009230	0.6926220595882733	-1.5589405920386923	1.292695040647803	0.19848369729043114	0.38009097326044594	-4.763308396859246
Me1_v2_0091880	0.6925815354439591	5.672697532475212	4.411354584611366	2.181011158132909e-5	4.199032772727929e-4	2.2821936731430785
Me1_v2_0149100	0.6924641174252195	2.5054615655593304	1.8278043523130254	0.06994651571557202	0.18927251182315546	-4.6684210201840575
Me1_v2_0209020	0.691848879551082	3.7045267801959922	2.5547821110967512	0.01181610658462487	0.05227758547015278	-3.3855412038687236
Me1_v2_0144940	-0.6917618538192496	4.898595876101234	-3.2745674901712745	0.0013667958659080253	0.010818956666261358	-1.5352903324753973
Me1_v2_0098700	0.6917495098457057	-0.9385715206478175	1.2894244083125794	0.19961422184182043	0.38135858323493327	-4.837528759747726
Me1_v2_0114800	0.6916786641569068	6.8291235948824465	2.8419042820509275	0.005233023845379196	0.028981531689302353	-2.7272068616499787
Me1_v2_0230080	-0.691543069260776	4.180247580727079	-2.2020530591083842	0.029482830157221706	0.10188942529637401	-4.11180080531506
Me1_v2_0080680	0.691501415904698	-0.14596493682892353	1.2514888149370662	0.21307635361594593	0.39848883554350445	-5.119090006158882
Me1_v2_0110010	0.691381500355142	5.275036183530109	4.995908752786426	1.9121670619526003e-6	6.0704523482732816e-5	4.59891718792707
Me1_v2_0221730	-0.6913132628326437	3.655648851931358	-3.1933111690100433	0.0017769913427311277	0.013055818626015939	-1.644710801842379
Me1_v2_0167070	-0.6912153782668696	0.24930635543990806	-2.2848858559691196	0.023992630385409025	0.08743904886031928	-3.563955800247862
Me1_v2_0084430	0.6906375131345923	-0.18626518862970984	1.7571858431799001	0.08131680161601354	0.20856286104207455	-4.341152046707974
Me1_v2_0176470	-0.6905186098408542	4.136348171315588	-5.832200427647239	4.3372070191912806e-8	2.7248312869691187e-6	8.26792346382724
